collection,dataset,experiment_group,project_group,project_token,series_core,dimension,scale,owner,dates,n_units,evidence,shares_stimuli_weakly_with,confidence,ask_collaborator
mturk,sentence_naturalness_survey_for_gs_dec_2009,M-E131,M-P131,gs,sentence_naturalness_survey_for_gs,naturalness_in_context,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2009-12-17..2009-12-17,122,series suffix variant of sentence_naturalness_survey_for_gs_apr_4_2010 | series suffix variant of sentence_naturalness_survey_for_gs_jan_2010 | series suffix variant of sentence_naturalness_survey_for_gs_jan_23_2010 | project token 'gs' = sentence_naturalness_survey_for_gs_may_11_2011_purple_puppy,sentence_naturalness_survey_for_gs_apr_4_2010 (0.21) | sentence_naturalness_survey_for_gs_jan_2010 (0.23) | sentence_naturalness_survey_for_gs_jan_23_2010 (0.21) | sentence_naturalness_survey_for_gs_may_11_2011_purple_puppy (0.31),medium (names only),yes
mturk,sentence_naturalness_survey_for_gs_jan_2010,M-E131,M-P131,gs,sentence_naturalness_survey_for_gs,naturalness_in_context,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2010-01-10..2010-01-10,133,series suffix variant of sentence_naturalness_survey_for_gs_apr_4_2010 | series suffix variant of sentence_naturalness_survey_for_gs_dec_2009 | series suffix variant of sentence_naturalness_survey_for_gs_jan_23_2010 | project token 'gs' = sentence_naturalness_survey_for_gs_may_11_2011_purple_puppy,sentence_naturalness_survey_for_gs_apr_4_2010 (0.59) | sentence_naturalness_survey_for_gs_dec_2009 (0.23) | sentence_naturalness_survey_for_gs_jan_23_2010 (0.80) | sentence_naturalness_survey_for_gs_may_11_2011_purple_puppy (0.71),medium (names only),yes
mturk,sentence_naturalness_survey_for_gs_jan_23_2010,M-E131,M-P131,gs,sentence_naturalness_survey_for_gs,naturalness_in_context,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2010-01-23..2010-01-23,216,same stimuli+dimension as sentence_naturalness_survey_for_gs_apr_4_2010 (cont=1.00) | series suffix variant of sentence_naturalness_survey_for_gs_apr_4_2010 | series suffix variant of sentence_naturalness_survey_for_gs_dec_2009 | series suffix variant of sentence_naturalness_survey_for_gs_jan_2010 | same stimuli+dimension as sentence_naturalness_survey_for_gs_may_11_2011_purple_puppy (cont=1.00),sentence_naturalness_survey_for_gs_dec_2009 (0.21) | sentence_naturalness_survey_for_gs_jan_2010 (0.80),high,no
mturk,sentence_naturalness_survey_for_gs_may_11_2011_purple_puppy,M-E131,M-P131,gs,sentence_naturalness_survey_for_gs_purple_puppy,naturalness_in_context,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2011-05-11..2011-05-11,72,same stimuli+dimension as sentence_naturalness_survey_for_gs_apr_4_2010 (cont=0.83) | project token 'gs' = sentence_naturalness_survey_for_gs_apr_4_2010 | project token 'gs' = sentence_naturalness_survey_for_gs_dec_2009 | project token 'gs' = sentence_naturalness_survey_for_gs_jan_2010 | same stimuli+dimension as sentence_naturalness_survey_for_gs_jan_23_2010 (cont=1.00),sentence_naturalness_survey_for_gs_dec_2009 (0.31) | sentence_naturalness_survey_for_gs_jan_2010 (0.71),high,no
mturk,sentence_naturalness_survey_for_jk_april_4_2010,M-E136,M-P136,jk,sentence_naturalness_survey_for_jk,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2010-04-04..2010-04-04,96,series suffix variant of sentence_naturalness_survey_for_jk_april_4_expt_3_2010 | series suffix variant of sentence_naturalness_survey_for_jk_april_9_expt_4_2010 | series suffix variant of sentence_naturalness_survey_for_jk_june_24_2010_v2 | series suffix variant of sentence_naturalness_survey_for_jk_mar_2010,sentence_naturalness_survey_for_jk_june_24_2010_v2 (0.25) | sentence_naturalness_survey_for_jk_mar_2010 (0.33),medium (names only),yes
mturk,sentence_naturalness_survey_for_jk_april_4_expt_3_2010,M-E136,M-P136,jk,sentence_naturalness_survey_for_jk,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2010-04-04..2010-04-04,96,series suffix variant of sentence_naturalness_survey_for_jk_april_4_2010 | series suffix variant of sentence_naturalness_survey_for_jk_april_9_expt_4_2010 | series suffix variant of sentence_naturalness_survey_for_jk_june_24_2010_v2 | series suffix variant of sentence_naturalness_survey_for_jk_mar_2010,sentence_naturalness_survey_for_jk_april_9_expt_4_2010 (0.40),medium (names only),yes
mturk,sentence_naturalness_survey_for_jk_april_9_expt_4_2010,M-E136,M-P136,jk,sentence_naturalness_survey_for_jk,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2010-04-09..2010-04-09,96,series suffix variant of sentence_naturalness_survey_for_jk_april_4_2010 | series suffix variant of sentence_naturalness_survey_for_jk_april_4_expt_3_2010 | series suffix variant of sentence_naturalness_survey_for_jk_june_24_2010_v2 | series suffix variant of sentence_naturalness_survey_for_jk_mar_2010,sentence_naturalness_survey_for_jk_april_4_expt_3_2010 (0.40),medium (names only),yes
mturk,sentence_naturalness_survey_for_jk_june_24_2010_v2,M-E136,M-P136,jk,sentence_naturalness_survey_for_jk,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2010-06-24..2010-06-24,176,series suffix variant of sentence_naturalness_survey_for_jk_april_4_2010 | series suffix variant of sentence_naturalness_survey_for_jk_april_4_expt_3_2010 | series suffix variant of sentence_naturalness_survey_for_jk_april_9_expt_4_2010 | series suffix variant of sentence_naturalness_survey_for_jk_mar_2010,sentence_naturalness_survey_for_jk_april_4_2010 (0.25) | sentence_naturalness_survey_for_jk_mar_2010 (0.45),medium (names only),yes
mturk,sentence_naturalness_survey_for_jk_mar_2010,M-E136,M-P136,jk,sentence_naturalness_survey_for_jk,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2010-03-17..2010-03-17,96,series suffix variant of sentence_naturalness_survey_for_jk_april_4_2010 | series suffix variant of sentence_naturalness_survey_for_jk_april_4_expt_3_2010 | series suffix variant of sentence_naturalness_survey_for_jk_april_9_expt_4_2010 | series suffix variant of sentence_naturalness_survey_for_jk_june_24_2010_v2,sentence_naturalness_survey_for_jk_april_4_2010 (0.33) | sentence_naturalness_survey_for_jk_june_24_2010_v2 (0.45),medium (names only),yes
mturk,sentence_naturalness_survey_for_jkm_dec_2009,M-E137,M-P138,jkm,sentence_naturalness_survey_for_jkm,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2009-12-19..2009-12-19,128,project token 'jkm' = sentence_naturalness_survey_for_jkm_jan_2012,,medium (names only),yes
mturk,sentence_naturalness_survey_for_jkm_jan_2012,M-E138,M-P138,jkm,sentence_naturalness_survey_for_jkm,naturalness_in_context,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2012-01-23..2012-01-23,128,project token 'jkm' = sentence_naturalness_survey_for_jkm_dec_2009,sentence_naturalness_survey_acd_v1_jan_2012 (0.23),medium (names only),yes
mturk,sentence_naturalness_survey_for_lb_dec_2009,M-E150,M-P150,lb,sentence_naturalness_survey_for_lb,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2009-12-17..2009-12-17,108,series suffix variant of sentence_naturalness_survey_for_lb_feb_2010 | series suffix variant of sentence_naturalness_survey_for_lb_feb_20_2010 | series suffix variant of sentence_naturalness_survey_for_lb_feb_20_2010_v2 | series suffix variant of sentence_naturalness_survey_for_lb_jan_2011 | series suffix variant of sentence_naturalness_survey_for_lb_jan_2011_v2,sentence_naturalness_survey_for_lb_mar_2010 (0.70) | sentence_naturalness_survey_for_lb_mar_2010_2 (0.70),medium (names only),yes
mturk,sentence_naturalness_survey_for_lb_feb_20_2010_v2,M-E150,M-P150,lb,sentence_naturalness_survey_for_lb,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2010-02-20..2010-02-20,77,series suffix variant of sentence_naturalness_survey_for_lb_dec_2009 | same stimuli+dimension as sentence_naturalness_survey_for_lb_feb_2010 (cont=1.00) | series suffix variant of sentence_naturalness_survey_for_lb_feb_2010 | same stimuli+dimension as sentence_naturalness_survey_for_lb_feb_20_2010 (cont=0.97) | series suffix variant of sentence_naturalness_survey_for_lb_feb_20_2010,,high,no
mturk,sentence_naturalness_survey_for_lb_jan_2011,M-E150,M-P150,lb,sentence_naturalness_survey_for_lb,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2011-01-27..2011-01-27,519,series suffix variant of sentence_naturalness_survey_for_lb_dec_2009 | series suffix variant of sentence_naturalness_survey_for_lb_feb_2010 | series suffix variant of sentence_naturalness_survey_for_lb_feb_20_2010 | series suffix variant of sentence_naturalness_survey_for_lb_feb_20_2010_v2 | series suffix variant of sentence_naturalness_survey_for_lb_jan_2011_v2,sentence_naturalness_survey_for_lb_jan_2011_v3 (0.80),medium (names only),yes
mturk,sentence_naturalness_survey_for_lb_jan_2011_v2,M-E150,M-P150,lb,sentence_naturalness_survey_for_lb,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2011-01-28..2011-01-28,519,series suffix variant of sentence_naturalness_survey_for_lb_dec_2009 | series suffix variant of sentence_naturalness_survey_for_lb_feb_2010 | series suffix variant of sentence_naturalness_survey_for_lb_feb_20_2010 | series suffix variant of sentence_naturalness_survey_for_lb_feb_20_2010_v2 | series suffix variant of sentence_naturalness_survey_for_lb_jan_2011,,medium (names only),yes
mturk,sentence_naturalness_survey_for_lb_jan_2011_v3,M-E150,M-P150,lb,sentence_naturalness_survey_for_lb,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2011-01-31..2011-01-31,519,series suffix variant of sentence_naturalness_survey_for_lb_dec_2009 | series suffix variant of sentence_naturalness_survey_for_lb_feb_2010 | series suffix variant of sentence_naturalness_survey_for_lb_feb_20_2010 | series suffix variant of sentence_naturalness_survey_for_lb_feb_20_2010_v2 | series suffix variant of sentence_naturalness_survey_for_lb_jan_2011,sentence_naturalness_survey_for_lb_jan_2011 (0.80),medium (names only),yes
mturk,sentence_naturalness_survey_for_lb_mar_2010,M-E150,M-P150,lb,sentence_naturalness_survey_for_lb,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2010-03-13..2010-03-14,123,series suffix variant of sentence_naturalness_survey_for_lb_dec_2009 | series suffix variant of sentence_naturalness_survey_for_lb_feb_2010 | series suffix variant of sentence_naturalness_survey_for_lb_feb_20_2010 | series suffix variant of sentence_naturalness_survey_for_lb_feb_20_2010_v2 | series suffix variant of sentence_naturalness_survey_for_lb_jan_2011,sentence_naturalness_survey_for_lb_dec_2009 (0.70),high,no
mturk,sentence_naturalness_survey_for_lb_mar_2010_2,M-E150,M-P150,lb,sentence_naturalness_survey_for_lb,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2010-03-13..2010-03-19,169,series suffix variant of sentence_naturalness_survey_for_lb_dec_2009 | series suffix variant of sentence_naturalness_survey_for_lb_feb_2010 | series suffix variant of sentence_naturalness_survey_for_lb_feb_20_2010 | series suffix variant of sentence_naturalness_survey_for_lb_feb_20_2010_v2 | series suffix variant of sentence_naturalness_survey_for_lb_jan_2011,sentence_naturalness_survey_for_lb_dec_2009 (0.70) | sentence_naturalness_survey_for_lb_may_2010 (0.25),high,no
mturk,sentence_naturalness_survey_for_lb_may_2010,M-E150,M-P150,lb,sentence_naturalness_survey_for_lb,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2010-05-13..2010-05-13,148,series suffix variant of sentence_naturalness_survey_for_lb_dec_2009 | series suffix variant of sentence_naturalness_survey_for_lb_feb_2010 | series suffix variant of sentence_naturalness_survey_for_lb_feb_20_2010 | series suffix variant of sentence_naturalness_survey_for_lb_feb_20_2010_v2 | series suffix variant of sentence_naturalness_survey_for_lb_jan_2011,sentence_naturalness_survey_for_lb_mar_2010_2 (0.25) | sentence_naturalness_survey_for_lb_prelim_oct_2010 (0.53) | sentence_naturalness_survey_for_lb_v2_oct_2010 (0.53),medium (names only),yes
mturk,sentence_naturalness_survey_for_lb_prelim_oct_2010,M-E150,M-P150,lb,sentence_naturalness_survey_for_lb_prelim,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2010-10-03..2010-10-03,402,project token 'lb' = sentence_naturalness_survey_for_lb_dec_2009 | project token 'lb' = sentence_naturalness_survey_for_lb_feb_2010 | project token 'lb' = sentence_naturalness_survey_for_lb_feb_20_2010 | project token 'lb' = sentence_naturalness_survey_for_lb_feb_20_2010_v2 | project token 'lb' = sentence_naturalness_survey_for_lb_jan_2011,sentence_naturalness_survey_for_lb_may_2010 (0.53),high,no
mturk,sentence_naturalness_survey_for_rw_dec_2009,M-E152,M-P152,rw,sentence_naturalness_survey_for_rw,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2009-12-16..2009-12-16,180,series suffix variant of sentence_naturalness_survey_for_rw_jan_2010,sentence_naturalness_survey_for_rw_jan_2010 (0.33),medium (names only),yes
mturk,sentence_naturalness_survey_for_rw_jan_2010,M-E152,M-P152,rw,sentence_naturalness_survey_for_rw,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Entirely natural,,2010-01-21..2010-01-31,480,series suffix variant of sentence_naturalness_survey_for_rw_dec_2009,sentence_naturalness_survey_for_rw_dec_2009 (0.33),medium (names only),yes
mturk,sentence_naturalness_survey_laura_mar_17_2012_92_items_code_lazy_cater,M-E154,M-P154,laura,sentence_naturalness_survey_laura,naturalness,Extremely unnatural | Somewhat unnatural | Slightly unnatural | Possible | Slightly natural | Somewhat natural | Extremely natural,,2012-03-17..2012-03-17,368,series suffix variant of sentence_naturalness_survey_laura_mar_17_2012_96_items_code_lazy_cater,,medium (names only),yes
mturk,sentence_naturalness_survey_laura_mar_17_2012_96_items_code_lazy_cater,M-E154,M-P154,laura,sentence_naturalness_survey_laura,naturalness,Extremely unnatural | Somewhat unnatural | Slightly unnatural | Possible | Slightly natural | Somewhat natural | Extremely natural,,2012-03-17..2012-03-17,384,series suffix variant of sentence_naturalness_survey_laura_mar_17_2012_92_items_code_lazy_cater,,medium (names only),yes
mturk,sentence_naturalness_survey_may_1_2011_64_items_code_shy_armadillo,M-E155,M-P162,sentence_naturalness_survey_may_1_2011_64_items_code_shy_armadillo,sentence_naturalness_survey,naturalness,Extremely unnatural | Somewhat unnatural | Slightly unnatural | Possible | Slightly natural | Somewhat natural | Extremely natural,,2011-05-02..2011-05-02,232,"same stimuli+dimension as sentence_naturalness_survey_feb_16_1_2012_60_items_code_shy_armadillo (cont=0.99) | same stimuli, other dimension: verb_particle_ratings (cont=1.00)",,high,no
mturk,sentence_naturalness_survey_may_4_2011_36_items_code_anxious_bat,M-E156,M-P156,sentence_naturalness_survey_may_4_2011_36_items_code_anxious_bat,sentence_naturalness_survey,naturalness,Extremely unnatural | Somewhat unnatural | Slightly unnatural | Possible | Slightly natural | Somewhat natural | Extremely natural,,2011-05-04..2011-05-04,84,,,singleton,yes
mturk,sentence_naturalness_survey_nat_aug_28_2010_survey_code_downtown,M-E157,M-P157,nat,sentence_naturalness_survey_nat,naturalness,Extremely unnatural | Somewhat unnatural | Slightly unnatural | Possible | Slightly natural | Somewhat natural | Extremely natural,,2010-08-28..2010-08-29,270,,,singleton,yes
mturk,short_acceptability_feb_6_2014,M-E158,M-P158,short_acceptability_feb_6_2014,short_acceptability,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2014-02-05..2014-02-06,128,,paris_judgments_3_dec_2012 (0.75) | paris_judgments_dec_2012_1 (0.75),singleton,yes
mturk,verb_causality_study_semantics_ratings_mk_april_2010,M-E160,M-P162,verb,verb_causality_study_semantics_ratings_mk,causativity,Always happens on its own | Probably happens on its own | Either is possible | Somebody/something probably makes it | Somebody/something always makes it,,2010-04-14..2010-04-16,188,same stimuli+dimension as copy_of_verb_causality_study_semantics_ratings_mk_april_2010 (cont=1.00) | project token 'verb' = copy_of_verb_causality_study_semantics_ratings_mk_april_2010 | same stimuli+dimension as copy_of_verb_causality_study_semantics_ratings_v3o1_mk_april_2010 (cont=1.00) | project token 'verb' = copy_of_verb_causality_study_semantics_ratings_v3o1_mk_april_2010 | same stimuli+dimension as copy_of_verb_causality_study_semantics_ratings_v3o2_mk_april_2010 (cont=1.00),,high,no
mturk,verb_causality_study_syntax_ratings_mk_april_2010,M-E161,M-P162,verb,verb_causality_study_syntax_ratings_mk,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2010-04-13..2010-04-17,653,project token 'verb' = copy_of_verb_causality_study_semantics_ratings_mk_april_2010 | project token 'verb' = copy_of_verb_causality_study_semantics_ratings_v3o1_mk_april_2010 | project token 'verb' = copy_of_verb_causality_study_semantics_ratings_v3o2_mk_april_2010 | project token 'verb' = copy_of_verb_causality_study_semantics_ratings_v3o4_mk_april_2010 | project token 'verb' = verb_causality_study_semantics_ratings_mk_april_2010,,medium (names only),yes
mturk,verb_particle_ratings,M-E162,M-P162,verb,verb_particle_ratings,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2011-07-26..2011-07-26,136,"project token 'verb' = copy_of_verb_causality_study_semantics_ratings_mk_april_2010 | project token 'verb' = copy_of_verb_causality_study_semantics_ratings_v3o1_mk_april_2010 | project token 'verb' = copy_of_verb_causality_study_semantics_ratings_v3o2_mk_april_2010 | project token 'verb' = copy_of_verb_causality_study_semantics_ratings_v3o4_mk_april_2010 | same stimuli, other dimension: sentence_naturalness_survey_feb_16_1_2012_60_items_code_shy_armadillo (cont=0.99)",,high,no
mturk,wm2_wm5_9_59_sentence_naturalness_survey_april_2011,M-E163,M-P163,wm2,wm2_wm5_sentence_naturalness_survey,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2011-05-01..2011-05-01,219,,sentence_completions_and_islands_acceptability_expt_1_nov_13_2012 (0.28),singleton,yes
mturk,word3_b_word_naturalness_survey_may_4_2011_160_items_code_sleepy_bear,M-E164,M-P165,word3,word3_b_word_naturalness_survey,wordlikeness,Extremely unnatural | Somewhat unnatural | Slightly unnatural | Possible | Slightly natural | Somewhat natural | Extremely natural,,2011-05-04..2011-05-04,158,project token 'word3' = word3_word_naturalness_survey_may_1_2011_45_items_code_nosy_badger,,medium (names only),yes
mturk,word3_word_naturalness_survey_may_1_2011_45_items_code_nosy_badger,M-E165,M-P165,word3,word3_word_naturalness_survey,wordlikeness,Extremely unnatural | Somewhat unnatural | Slightly unnatural | Possible | Slightly natural | Somewhat natural | Extremely natural,,2011-05-02..2011-05-02,45,project token 'word3' = word3_b_word_naturalness_survey_may_4_2011_160_items_code_sleepy_bear,,medium (names only),yes
mturk,word_length_context_sentence_naturalness_survey_april_2011,M-E166,M-P166,word,word_length_context_sentence_naturalness_survey,naturalness,Extremely unnatural | Somewhat unnatural | Possible | Somewhat natural | Extremely natural,,2011-04-30..2011-04-30,131,,,singleton,yes
surveyor,missing_vp_extension,S-E1,S-P43,missing,missing_vp_extension,please rate this sentence.,1 = Easy to understand | 2 = Somewhat easy to understand | 3 = Neutral | 4 = Somewhat hard to understand | 5 = Hard to understand,ekaz.kerb@gmail.com,,80,project token 'missing' = missing_vp_rereplication,missing_vp_rereplication (0.33),medium (names only),yes
surveyor,extension,S-E2,S-P2,extension,extension,please rate how acceptable the sentence is,1 = Definitely not acceptable | 7 = Definitely acceptable,vivhan@mit.edu,,138,,acceptability_replication_959 (0.43) | montemayor_replication_acceptability_in_syntax (0.43) | replication_v6 (0.43),singleton,yes
surveyor,can_noncan_acceptability_2,S-E8,S-P8,can,can_noncan_acceptability,how natural does the sentence sound?,1 = Very Unnatural | 2 = Unnatural | 3 = Neutral | 4 = Natural | 5 = Very Natural,susanw26@mit.edu,,88,series suffix variant of can_noncan_acceptability_0924,can_noncan_acceptability_0924 (0.75) | susan_canonicity_rerunning (0.54) | susan_canonicity_rerunning_2 (0.42) | susan_canonicity_rerunning_3 (0.42),medium (names only),yes
surveyor,can_noncan_acceptability_0924,S-E8,S-P8,can,can_noncan_acceptability,how natural does the sentence sound?,1 = Very Unnatural | 2 = Unnatural | 3 = Neutral | 4 = Natural | 5 = Very Natural,susanw26@mit.edu,,88,series suffix variant of can_noncan_acceptability_2 | same stimuli+dimension as susan_canonicity_rerunning (cont=1.00) | same stimuli+dimension as susan_canonicity_rerunning_2 (cont=0.83) | same stimuli+dimension as susan_canonicity_rerunning_3 (cont=0.83),can_noncan_acceptability_2 (0.75) | of_acceptability_2 (0.45) | topicalization_e1 (0.37) | base_acceptability_0911 (0.20),high,no
surveyor,missing_vp_extension_0501_final,S-E5,S-P5,missing,missing_vp_extension,"please rate this sentence. (if two sentences are shown, rate only the second one.)",1 = Hard to understand | 2 = Somewhat hard to understand | 3 = Neutral | 4 = Somewhat easy to understand | 5 = Easy to understand,biancas@mit.edu,,72,,missing_vp_rereplication (0.50),singleton,yes
surveyor,susan_canonicity_rerunning_2,S-E8,S-P8,susan,susan_canonicity,how natural does the sentence sound?,1 = Very Unnatural | 2 = Unnatural | 3 = Neutral | 4 = Natural | 5 = Very Natural,moshepol@mit.edu,,48,same stimuli+dimension as can_noncan_acceptability_0924 (cont=0.83) | same stimuli+dimension as susan_canonicity_rerunning (cont=0.83) | series suffix variant of susan_canonicity_rerunning | same stimuli+dimension as susan_canonicity_rerunning_3 (cont=0.92) | series suffix variant of susan_canonicity_rerunning_3,can_noncan_acceptability_2 (0.42),high,no
surveyor,of_acceptability_2,S-E24,S-P24,of_acceptability_2,of_acceptability,how natural does the sentence sound?,1 = Very Unnatural | 2 = Unnatural | 3 = Neutral | 4 = Natural | 5 = Very Natural,susanw26@mit.edu,,88,same stimuli+dimension as clefting_e3 (cont=0.94),clefting_e4_rep2 (0.29) | can_noncan_acceptability_2 (0.45) | can_noncan_acceptability_0924 (0.45) | clefting_e4 (0.29),high,no
surveyor,gabriel_wh,S-E10,S-P15,gabriel,gabriel_wh,esta frase é uma frase bem formada em português?,1 = Muito mal formada | 7 = Muito bem formada,moshepol@mit.edu,,174,project token 'gabriel' = gabriel_rc,,medium (names only),yes
surveyor,constituency_tests,S-E35,S-P35,constituency,constituency_tests,how natural does the sentence sound?,1 = Very Unnatural | 2 = Unnatural | 3 = Neutral | 4 = Natural | 5 = Very Natural,miau@mit.edu,,48,series suffix variant of constituency_tests_2 | same stimuli+dimension as topicalization_e2 (cont=1.00),topicalization_e1_v2 (0.29) | topicalization_e1 (0.27),high,no
surveyor,constituency_tests_2,S-E35,S-P35,constituency,constituency_tests,how natural does the sentence sound?,1 = Very Unnatural | 2 = Unnatural | 3 = Neutral | 4 = Natural | 5 = Very Natural,miau@mit.edu,,48,series suffix variant of constituency_tests,,medium (names only),yes
surveyor,european_portuguese_rc,S-E13,S-P19,european,european_portuguese_rc,esta frase é uma frase bem formada em português?,1 = Muito mal formada | 7 = Muito bem formada,moshepol@mit.edu,,174,project token 'european' = european_portuguese_wh,gabriel_rc (0.27),medium (names only),yes
surveyor,gabriel_rc,S-E15,S-P15,gabriel,gabriel_rc,esta frase é uma frase bem formada em português?,1 = Muito mal formada | 7 = Muito bem formada,moshepol@mit.edu,,174,project token 'gabriel' = gabriel_wh,european_portuguese_rc (0.27),medium (names only),yes
surveyor,russian_freezing,S-E16,S-P16,russian,russian_freezing,укажите на сколько естественное это предолжение.,1 = Абсолютно неестестевенное | 2 = Неестестевенное | 3 = Ни естестевенное и ни неестестевенное | 4 = Естестевенное | 5 = Абсолютно естестевенное,moshepol@mit.edu,,180,,,singleton,yes
surveyor,clefting_e3,S-E24,S-P24,clefting,clefting,how natural does the sentence sound?,1 = Very Unnatural | 2 = Unnatural | 3 = Neutral | 4 = Natural | 5 = Very Natural,moshepol@mit.edu,,48,series suffix variant of clefting_e4_rep2 | same stimuli+dimension as of_acceptability_2 (cont=0.94) | series suffix variant of clefting_e4 | series suffix variant of clefting_e4_rep,clefting_e4_rep2 (0.27) | clefting_e4 (0.27) | clefting_e4_rep (0.27),high,no
surveyor,huang_response_set1b,S-E31,S-P31,huang,huang_response,rate how natural the sentence is:,1 = Very unnatural | 4 = Neutral | 7 = Very natural,moshepol@mit.edu,,288,series suffix variant of huang_response_set1a | series suffix variant of huang_response_set2a | series suffix variant of huang_response_set2b | series suffix variant of huang_response_set2a_declaratives | series suffix variant of huang_response_set2b_declaratives,,medium (names only),yes
surveyor,european_portuguese_wh,S-E19,S-P19,european,european_portuguese_wh,esta frase é uma frase bem formada em português?,1 = Muito mal formada | 7 = Muito bem formada,moshepol@mit.edu,,174,project token 'european' = european_portuguese_rc,,medium (names only),yes
surveyor,crossed_dependencies_long,S-E20,S-P20,crossed,crossed_dependencies_long,how natural do you find the statement above?,1 = Very Unnatural | 5 = Very Natural,moshepol@mit.edu,,192,same stimuli+dimension as crossed_dependencies (cont=0.94) | project token 'crossed' = crossed_dependencies,,high,no
surveyor,clefting_e4,S-E24,S-P24,clefting,clefting,how natural does the sentence sound?,1 = Very Unnatural | 2 = Unnatural | 3 = Neutral | 4 = Natural | 5 = Very Natural,moshepol@mit.edu,,48,same stimuli+dimension as clefting_e4_rep2 (cont=1.00) | series suffix variant of clefting_e4_rep2 | series suffix variant of clefting_e3 | same stimuli+dimension as clefting_e4_rep (cont=1.00) | series suffix variant of clefting_e4_rep,of_acceptability_2 (0.29) | clefting_e3 (0.27),high,no
surveyor,italian_locative_v7,S-E25,S-P26,italian,italian_locative,"per favore, leggi l’intero testo sopra e valuta quanto è naturale la frase in grassetto .",1 = Completamente innaturale | 5 = Completamente naturale,moshepol@mit.edu,,192,project token 'italian' = italian_dative_v2,,medium (names only),yes
surveyor,italian_dative_v2,S-E26,S-P26,italian,italian_dative,"per favore, leggi l’intero testo sopra e valuta quanto è naturale la frase in grassetto.",1 = Completamente innaturale | 5 = Completamente naturale,moshepol@mit.edu,,192,project token 'italian' = italian_locative_v7,,medium (names only),yes
surveyor,huang_response_set1a,S-E31,S-P31,huang,huang_response,rate how natural the sentence is:,1 = Very unnatural | 4 = Neutral | 7 = Very natural,moshepol@mit.edu,,288,series suffix variant of huang_response_set1b | series suffix variant of huang_response_set2a | series suffix variant of huang_response_set2b | series suffix variant of huang_response_set2a_declaratives | series suffix variant of huang_response_set2b_declaratives,,medium (names only),yes
surveyor,huang_response_set2a,S-E31,S-P31,huang,huang_response,rate how natural the sentence is:,1 = Very unnatural | 4 = Neutral | 7 = Very natural,moshepol@mit.edu,,288,series suffix variant of huang_response_set1b | series suffix variant of huang_response_set1a | series suffix variant of huang_response_set2b | series suffix variant of huang_response_set2a_declaratives | series suffix variant of huang_response_set2b_declaratives,huang_response_set2b_declaratives (0.50),medium (names only),yes
surveyor,huang_response_set2b,S-E31,S-P31,huang,huang_response,rate how natural the sentence is:,1 = Very unnatural | 4 = Neutral | 7 = Very natural,moshepol@mit.edu,,288,series suffix variant of huang_response_set1b | series suffix variant of huang_response_set1a | series suffix variant of huang_response_set2a | series suffix variant of huang_response_set2a_declaratives | series suffix variant of huang_response_set2b_declaratives,huang_response_set2a_declaratives (0.50),medium (names only),yes
surveyor,huang_response_set2a_declaratives,S-E31,S-P31,huang,huang_response,rate how natural the sentence is:,1 = Very unnatural | 4 = Neutral | 7 = Very natural,moshepol@mit.edu,,288,series suffix variant of huang_response_set1b | series suffix variant of huang_response_set1a | series suffix variant of huang_response_set2a | series suffix variant of huang_response_set2b | series suffix variant of huang_response_set2b_declaratives,huang_response_set2b (0.50),medium (names only),yes
